search_id,split,a,b,y,time_diff,distance_diff,intersection_weighted_diff,merge_weighted_diff,narrow_weighted_diff,turn_weighted_diff,consecutive_weighted_diff,child_100m_weighted_diff
0,train,2,0,1,17.19415660562038,-201.21409044804886,-0.0,0.0,-0.0,-0.0,-0.0,0.0
0,train,1,2,0,184.67626813028465,52.64692147391497,-0.0,-0.0,-0.0,0.0,0.0,0.0
1,train,2,0,1,-77.0785652538442,-724.9182547179762,0.3333333333333333,172.9783338807144,-124.76548716779412,0.0,-0.0,23.56936479494987
1,train,2,1,1,45.71625368195794,-703.2568026511053,0.0,200.93269564681555,-402.58545851322464,0.0,0.0,4.069249091899269
2,train,1,0,1,-60.96813789157454,-887.7818630802817,-0.0,0.0,-0.0,0.0,-0.0,-0.0
2,train,2,1,0,-155.784317067602,131.71536230730635,0.0,-0.0,0.0,0.0,0.0,0.0
3,train,1,0,0,71.01509164413937,277.50159435326304,0.0,224.92428164949817,0.0,-0.4,0.1,5.081461412310939
3,train,0,2,1,-95.33248172171193,-893.7628213352186,-0.0,-115.56528625712113,-0.0,0.4,-0.2,-154.8332001880413
4,train,0,1,0,-196.51508854095778,-299.2428169038958,0.2,308.9209290784656,-0.0,0.2,-0.4,0.0
4,train,1,2,1,-161.3632499452392,-679.4026881300306,-0.4,-113.60561658834568,0.0,-0.1,-1.2000000000000002,0.0
5,train,0,1,0,-8.667774078845241,620.3915383020958,-0.26666666666666666,-0.0,124.23434590675161,0.3333333333333333,-0.26666666666666666,2.808839119131767
5,train,2,1,0,238.15404428183098,721.7678116404677,-0.13333333333333333,0.0,-32.06463912338821,0.0,0.8,0.5669868035480932
6,validation,0,2,0,-48.6140223884712,194.0812104638444,0.0,195.758393506699,-0.0,-0.13333333333333333,2.0,4.92738653397023
6,validation,1,2,0,164.0061807466933,195.39187597836963,0.2,143.57863967065063,0.0,-0.13333333333333333,0.6666666666666666,-40.911028291866046
7,train,1,0,0,199.58778548947043,581.5796562542687,0.3333333333333333,-0.0,-138.36683198699455,0.0,-0.0,0.0
7,train,2,0,0,266.43315983682385,1024.6960320050225,0.0,-0.0,220.85888315150225,-0.0,0.0,0.0
